timestamp,ax,ay,az,gx,gy,gz
2025-06-19T09:37:43.807852,12832,-108,-10788,5195,-3974,6149
2025-06-19T09:37:44.115443,19432,-648,-10260,3736,-4011,1750
2025-06-19T09:37:44.473665,16536,-1396,-7972,1724,-4302,1251
2025-06-19T09:37:44.828921,17328,-1588,-8620,3029,-2706,619
2025-06-19T09:37:45.136751,16748,-4772,-7972,-591,6222,584
2025-06-19T09:37:45.446186,13096,-2632,-10116,-5362,9082,4065
2025-06-19T09:37:45.831440,14988,-7016,-6236,-3828,3654,2975
2025-06-19T09:37:46.083047,13532,-6268,-7428,-2735,1599,3174
2025-06-19T09:37:46.317741,14364,-5904,-6740,-2037,-3677,-303
2025-06-19T09:37:46.674702,14744,-7876,-8352,-3423,-4372,436
2025-06-19T09:37:46.982115,12696,-3120,-12808,-3660,412,-7712
2025-06-19T09:37:47.287223,11528,220,-11432,-7064,3738,-14473
2025-06-19T09:37:47.605211,8476,9004,-12948,-2073,-2874,-6590
2025-06-19T09:37:47.911992,6556,10748,-12628,-3364,-2268,-5617
2025-06-19T09:37:48.216779,1980,13396,-10640,-2525,-104,-2641
2025-06-19T09:37:48.519223,3024,12980,-12444,-1681,-2168,-2735
2025-06-19T09:37:48.825871,-4052,13536,-10720,679,-3006,-5642
2025-06-19T09:37:49.143191,-740,12532,-12008,6401,1525,7112
2025-06-19T09:37:49.437501,2804,10864,-14748,-3028,587,-2516
2025-06-19T09:37:49.747179,-1824,12660,-11828,-4667,-12,-8239
2025-06-19T09:37:50.186208,-6704,11812,-10044,-3802,-4609,-3473
2025-06-19T09:37:50.490703,-6664,12516,-9004,-564,-317,-2768
2025-06-19T09:37:50.780096,-6852,12804,-6988,-732,-768,-2430
2025-06-19T09:37:51.084294,-8728,12080,-9124,-1019,464,-90
2025-06-19T09:37:51.406503,-8136,12508,-8608,-607,-495,-1151
2025-06-19T09:37:51.743446,-8160,12188,-8112,-527,-163,-140
2025-06-19T09:37:52.048537,-7876,12468,-8524,-1042,-244,383
2025-06-19T09:37:52.329275,-7856,12416,-8152,-461,-27,40
2025-06-19T09:37:52.718942,-8072,12424,-8044,-493,107,-48
2025-06-19T09:37:53.080560,-7604,12424,-8084,478,103,-313
2025-06-19T09:37:53.482737,-9724,12284,-10072,1686,2154,2392
2025-06-19T09:37:53.994718,-5340,11372,-12060,6262,-2087,1900
2025-06-19T09:37:54.352440,-8116,8824,-13412,1943,-2796,236
2025-06-19T09:37:54.659991,-7044,7632,-15436,3108,-449,390
2025-06-19T09:37:54.967825,-6900,6756,-15096,-152,525,-362
2025-06-19T09:37:55.272180,-6852,6652,-14716,148,-21,399
2025-06-19T09:37:55.581111,-4896,7068,-15748,368,133,612
2025-06-19T09:37:55.890585,-5512,6504,-15360,-1210,1426,131
2025-06-19T09:37:56.201539,-3000,5804,-16800,-11001,4497,-4901
2025-06-19T09:37:57.609047,-4740,7524,-9736,-3234,4463,-10096
2025-06-19T09:37:57.937536,-8428,-56,-16556,133,495,-764
2025-06-19T09:37:58.248044,-8948,416,-16916,-1020,-1561,303
2025-06-19T09:37:58.554837,-8608,720,-16464,52,8,-260
2025-06-19T09:37:58.859405,-8636,744,-16212,677,751,-357
2025-06-19T09:37:59.158903,-8376,440,-16068,-286,-295,-280
2025-06-19T09:37:59.477738,-8648,800,-16088,-505,-283,-366
2025-06-19T09:37:59.783247,-8336,1144,-15616,-753,-498,370
2025-06-19T09:38:00.041245,-7876,920,-16052,648,-418,-152
2025-06-19T09:38:00.270561,-8572,596,-15984,-130,-429,-1463
2025-06-19T09:38:00.598632,-8112,788,-15536,-2087,-714,-41
2025-06-19T09:38:00.905807,-8332,976,-15564,2671,1514,1871
2025-06-19T09:38:01.215730,-6924,-244,-17380,-950,-5534,1255
2025-06-19T09:38:01.514151,-7932,-332,-15120,-1138,-1943,-89
2025-06-19T09:38:01.916859,-8864,428,-15392,-2724,-262,-616
2025-06-19T09:38:02.239357,-8396,1340,-14956,-886,38,-164
2025-06-19T09:38:02.571770,-8996,944,-15740,-440,-546,20
2025-06-19T09:38:02.853471,-8712,888,-15608,159,371,-536
2025-06-19T09:38:03.164925,-8828,1128,-15532,-505,-368,-76
2025-06-19T09:38:03.470811,-8436,652,-14992,735,532,-426
2025-06-19T09:38:03.775248,-8120,524,-16116,-72,-304,345
2025-06-19T09:38:04.083295,-8580,528,-15940,-558,-183,-479
2025-06-19T09:38:04.390507,-8352,340,-15916,-424,23,-348
2025-06-19T09:38:04.800321,-8568,576,-15820,-473,-643,25
2025-06-19T09:38:05.108120,-8508,580,-15920,-324,-175,-72
2025-06-19T09:38:05.414559,-8460,632,-16000,-177,-526,-252
2025-06-19T09:38:05.733513,-8756,644,-16288,-425,-361,-18
2025-06-19T09:38:06.040590,-6016,984,-13144,-2998,3028,-201
2025-06-19T09:38:06.489901,-7716,940,-15092,-5195,-3748,-704
2025-06-19T09:38:09.714756,-7860,2732,-14128,-667,617,-628
2025-06-19T09:38:10.020569,-8116,844,-17540,-1806,-159,113
2025-06-19T09:38:10.369222,-6484,868,-17808,973,-841,826
2025-06-19T09:38:10.634236,-10128,1376,-17392,-2235,-605,-1489
2025-06-19T09:38:10.941703,-7896,1440,-15748,1411,607,38
2025-06-19T09:38:11.353555,-6812,900,-16840,-1290,937,43
2025-06-19T09:38:11.659784,-10368,500,-14968,-319,2538,1860
2025-06-19T09:38:11.915169,-6324,1460,-19000,-2467,6852,4162
2025-06-19T09:38:12.169716,-4376,4288,-18100,-3740,1258,2404
2025-06-19T09:38:12.478176,-604,5360,-17588,552,1808,3629
2025-06-19T09:38:12.786271,-2756,8032,-17152,-4068,2299,3255
2025-06-19T09:38:13.092414,6424,7700,-14776,-8040,23745,19977
2025-06-19T09:38:13.403423,18352,808,-5612,-1733,3479,10446
2025-06-19T09:38:13.739324,18704,-2980,-10784,5033,-2920,3635
2025-06-19T09:38:14.024781,13156,-2528,-12872,-521,7792,-852
2025-06-19T09:38:14.307739,13240,-2704,-11660,529,-5085,-1427
2025-06-19T09:38:14.631045,13268,-2736,-12720,-2007,-907,-109
2025-06-19T09:38:14.866180,12388,-2796,-13068,748,832,-644
2025-06-19T09:38:15.252764,12504,-3024,-13532,-627,-2359,-63
2025-06-19T09:38:15.557063,11144,-3128,-14644,-371,-1615,211
2025-06-19T09:38:15.892619,10328,-2944,-15184,227,-2151,-1103
2025-06-19T09:38:16.259872,14804,-1632,-11160,-591,522,-1622
2025-06-19T09:38:16.581072,14364,-1564,-11392,-985,184,-532
2025-06-19T09:38:16.879941,15336,-472,-11772,-180,1604,-2548
2025-06-19T09:38:17.246453,14184,2496,-7584,66,4000,-4878
2025-06-19T09:38:17.598673,16512,3924,-7188,-558,-912,230
2025-06-19T09:38:17.912500,21404,5904,-8276,-5652,4202,503
2025-06-19T09:38:18.249039,18600,8080,-4016,508,-11576,6501
2025-06-19T09:38:18.730603,16400,5340,-5464,2234,-758,759
2025-06-19T09:38:19.039895,15348,5204,-5440,-180,666,-265
2025-06-19T09:38:19.731926,16212,5944,-4128,-1625,1405,-1721
2025-06-19T09:38:20.131536,14576,7032,-1552,-2908,250,-990
2025-06-19T09:38:20.673052,12740,12452,2696,-1613,-25828,-752
2025-06-19T09:38:20.978392,14284,6972,6600,630,11362,3972
2025-06-19T09:38:21.271818,3268,4264,9324,-1560,9423,-1502
2025-06-19T09:38:21.696301,10132,2804,13092,-3746,5607,-29
2025-06-19T09:38:21.951727,6572,5780,12732,-3639,7123,2383
2025-06-19T09:38:22.210418,456,1060,12212,4720,-7296,3173
2025-06-19T09:38:22.515598,1668,56,14340,1297,-492,-1206
2025-06-19T09:38:22.839578,644,296,15968,954,-1875,-4453
2025-06-19T09:38:23.338157,-8072,2180,15532,707,265,-2676
2025-06-19T09:38:23.654768,-820,-1652,15972,-5871,-1072,-1083
2025-06-19T09:38:24.244448,-2256,992,16432,-5290,-1554,-4175
2025-06-19T09:38:25.471274,-5828,-3688,15164,8087,2290,3889
2025-06-19T09:38:25.895074,-10488,8172,8272,-1852,2131,541
2025-06-19T09:38:26.199925,-12296,-1424,12200,-10180,6301,-8290
2025-06-19T09:38:26.620971,-11572,-2132,8272,-5775,635,-5110
2025-06-19T09:38:26.917126,-11904,-8696,4356,-1094,152,1026
2025-06-19T09:38:27.327955,-12628,-8312,4492,-1315,-3946,-1066
2025-06-19T09:38:27.671850,-10240,-1688,6128,2805,-62,7575
2025-06-19T09:38:27.976995,-13164,-4896,4724,1478,-1527,-8730
2025-06-19T09:38:28.270552,-7600,-9056,6496,-163,-403,-6562
2025-06-19T09:38:28.658587,-10292,-11352,5120,260,2468,-2374
