timestamp,ax,ay,az,gx,gy,gz
2025-06-19T09:32:58.718471,1584,-14052,-2456,262,-783,-1191
2025-06-19T09:32:59.025031,3496,-16472,-640,-1778,-2708,-1633
2025-06-19T09:32:59.250909,2024,-15532,-5140,-2117,580,-671
2025-06-19T09:32:59.537091,1672,-16636,-4868,-2497,9750,1290
2025-06-19T09:32:59.844553,1716,-16624,-6176,-901,857,702
2025-06-19T09:33:00.150764,1984,-16560,-6560,47,1223,350
2025-06-19T09:33:00.457858,996,-16840,-4312,2033,-355,-340
2025-06-19T09:33:00.847844,12,-16360,-4572,-502,-7344,328
2025-06-19T09:33:01.176606,-60,-16512,-1320,638,-2021,1970
2025-06-19T09:33:01.483129,1760,-14828,-2208,-710,-5065,-2693
2025-06-19T09:33:01.850027,1704,-16432,-3300,2608,2653,2175
2025-06-19T09:33:02.097399,1920,-17192,-2912,-6369,2705,-3046
2025-06-19T09:33:02.404244,1260,-18780,-3968,-6088,7537,-5177
2025-06-19T09:33:02.721806,1140,-16920,-6388,5202,-6552,2075
2025-06-19T09:33:03.015747,3588,-18112,-4444,8909,-16089,-1137
2025-06-19T09:33:03.325887,4360,-14920,-2400,-7098,5457,1418
2025-06-19T09:33:03.634822,488,-17972,-4096,-6809,8858,-2598
2025-06-19T09:33:03.939134,1456,-16516,-4924,2997,-4461,2591
2025-06-19T09:33:04.249410,172,-17316,-2884,7347,-7231,-897
2025-06-19T09:33:04.565211,2360,-16344,-1816,-932,19,369
2025-06-19T09:33:04.868815,1824,-16888,-2560,-641,9751,-1111
2025-06-19T09:33:05.183482,912,-17708,-2416,-452,-3100,-982
2025-06-19T09:33:05.484588,968,-16740,-1756,1565,-5057,1287
2025-06-19T09:33:05.788224,3120,-16864,-1644,83,3200,626
2025-06-19T09:33:06.046911,2008,-16852,-1936,-1777,2418,-671
2025-06-19T09:33:06.275943,84,-16040,-2508,766,8488,-574
2025-06-19T09:33:06.603760,1636,-17304,-1024,-1231,3267,-416
2025-06-19T09:33:06.915737,2152,-15728,-1708,1774,15238,-91
2025-06-19T09:33:07.217584,1808,-14360,-160,1345,1280,110
2025-06-19T09:33:07.524242,3556,-16568,-940,-2501,7556,1033
2025-06-19T09:33:07.836436,-2896,-15604,-2100,1792,11694,-1698
2025-06-19T09:33:08.141739,380,-16508,-208,438,7891,-3868
2025-06-19T09:33:08.452094,4544,-14824,2628,7432,11924,-5852
2025-06-19T09:33:08.755287,3396,-15092,2052,-3336,-2085,-2240
